address,pref,county,muni,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
北海道札幌市,北海道,,札幌市,20742.0,24027.0,26463.0,28171.0,30031.0,33820.0,37528.0,41996.0,47889.0,53593.0
北海道函館市,北海道,,函館市,3470.0,3989.0,4424.0,4703.0,5014.0,5446.0,5845.0,6254.0,6899.0,7609.0
北海道小樽市,北海道,,小樽市,994.0,1141.0,1224.0,1281.0,1307.0,1382.0,1540.0,1706.0,1954.0,2166.0
北海道旭川市,北海道,,旭川市,4372.0,4932.0,5392.0,5671.0,5959.0,6534.0,6940.0,7578.0,8551.0,9465.0
北海道室蘭市,北海道,,室蘭市,1334.0,1458.0,1572.0,1675.0,1750.0,2052.0,2350.0,2616.0,2893.0,3223.0
北海道釧路市,北海道,,釧路市,5520.0,6217.0,6877.0,7379.0,7833.0,8419.0,8853.0,9405.0,10023.0,10720.0
北海道帯広市,北海道,,帯広市,8380.0,9871.0,11048.0,11807.0,12303.0,13248.0,14296.0,15066.0,15882.0,16910.0
北海道北見市,北海道,,北見市,6891.0,7409.0,7827.0,8169.0,8515.0,8846.0,9124.0,9526.0,10203.0,11108.0
北海道夕張市,北海道,,夕張市,55.0,70.0,104.0,104.0,124.0,128.0,129.0,150.0,159.0,169.0
北海道岩見沢市,北海道,,岩見沢市,1210.0,1298.0,1419.0,1503.0,1640.0,1729.0,1872.0,2121.0,2460.0,2654.0
北海道網走市,北海道,,網走市,1427.0,1555.0,1735.0,1783.0,1837.0,1881.0,1952.0,2020.0,2207.0,2417.0
北海道留萌市,北海道,,留萌市,53.0,81.0,94.0,98.0,108.0,149.0,167.0,199.0,245.0,250.0
北海道苫小牧市,北海道,,苫小牧市,3396.0,3973.0,4372.0,4614.0,4870.0,5360.0,5859.0,6356.0,7229.0,7963.0
北海道稚内市,北海道,,稚内市,112.0,206.0,226.0,286.0,318.0,344.0,374.0,383.0,403.0,402.0
北海道美唄市,北海道,,美唄市,239.0,269.0,302.0,343.0,386.0,401.0,423.0,443.0,478.0,492.0
北海道芦別市,北海道,,芦別市,147.0,152.0,178.0,186.0,208.0,218.0,266.0,340.0,417.0,435.0
北海道江別市,北海道,,江別市,1929.0,2226.0,2489.0,2591.0,2820.0,3275.0,3664.0,4256.0,5194.0,5913.0
北海道赤平市,北海道,,赤平市,49.0,59.0,52.0,52.0,62.0,87.0,107.0,131.0,138.0,164.0
北海道紋別市,北海道,,紋別市,335.0,365.0,406.0,425.0,434.0,473.0,483.0,588.0,637.0,693.0
北海道士別市,北海道,,士別市,302.0,374.0,430.0,451.0,463.0,492.0,522.0,533.0,578.0,674.0
北海道名寄市,北海道,,名寄市,361.0,430.0,543.0,600.0,624.0,677.0,780.0,806.0,869.0,983.0
北海道三笠市,北海道,,三笠市,35.0,35.0,53.0,53.0,66.0,76.0,76.0,96.0,114.0,138.0
北海道根室市,北海道,,根室市,228.0,258.0,391.0,485.0,635.0,769.0,870.0,922.0,1056.0,1187.0
北海道千歳市,北海道,,千歳市,2576.0,2971.0,3139.0,3253.0,3436.0,3725.0,4025.0,4478.0,4865.0,5276.0
北海道滝川市,北海道,,滝川市,404.0,456.0,508.0,522.0,534.0,602.0,644.0,738.0,910.0,1037.0
北海道砂川市,北海道,,砂川市,197.0,256.0,279.0,290.0,297.0,325.0,346.0,401.0,484.0,591.0
北海道歌志内市,北海道,,歌志内市,7.0,7.0,7.0,7.0,7.0,13.0,17.0,24.0,24.0,24.0
北海道深川市,北海道,,深川市,279.0,366.0,416.0,470.0,529.0,609.0,667.0,736.0,771.0,807.0
北海道富良野市,北海道,,富良野市,459.0,482.0,502.0,528.0,550.0,585.0,672.0,729.0,782.0,849.0
北海道登別市,北海道,,登別市,762.0,845.0,925.0,999.0,1077.0,1238.0,1378.0,1562.0,1754.0,1961.0
北海道恵庭市,北海道,,恵庭市,2289.0,2735.0,2855.0,2960.0,3068.0,3273.0,3521.0,3876.0,4399.0,4781.0
